Location,Lat,Lot
"Burr Ridge, IL",41.7502971,-87.9161818
"Rolling Meadows, IL",42.0841936,-88.0131275
"Deerfield, IL",42.1711365,-87.8445119
"Northlake, IL",41.9172526,-87.8956185
"Northbrook, IL",42.12753095,-87.8318855309532
"Des Plaines, IL",42.0415823,-87.8873916
"Itasca, IL",47.4968343,-93.6225663
"Evanston, IL",42.0447388,-87.6930459
"Bridgeview, IL",41.7500323,-87.8042216
"Oak Brook, IL",41.8371265,-87.94555605930398
"Maywood, IL",41.8791979,-87.8431155
"Northfield, IL",42.09975,-87.7808967
"Glenview, IL",42.0700662,-87.8114044
"Elk Grove Village, IL",42.0072513,-87.940345
"Arlington Heights, IL",42.0811563,-87.9802164
"Houston, TX",29.7589382,-95.3676974
"Stafford, TX",29.6160671,-95.5577221
"Pearland, TX",29.5639758,-95.2864299
"Sugar Land, TX",29.6196787,-95.6349463
"Pasadena, TX",29.6910625,-95.2091006
"Spring, TX",30.0798826,-95.4172549
"Tempe, AZ",33.4255056,-111.9400125
"Phoenix, AZ",33.4484367,-112.0741417
"Scottsdale, AZ",33.4942189,-111.9260184
"Glendale, AZ",33.5386858,-112.1859941
"Chandler, AZ",33.3062223,-111.8413317
"Mesa, AZ",33.4151117,-111.8314773
"DC Ranch, AZ",33.6694282,-111.866546
"King of Prussia, PA",40.0908111,-75.3832484
"Plymouth Meeting, PA",40.1105915,-75.28448701221585
"Blue Bell, PA",40.152331,-75.266289
"Fort Washington, PA",40.1399717,-75.210095
"Philadelphia, PA",39.9527237,-75.1635262
"Wilmington, DE",39.7459468,-75.546589
"Malvern, PA",31.1393439,-85.5191005
"Horsham, PA",40.1842455,-75.13905239078957
"Camden, NJ",39.9448402,-75.1198911
"Feasterville Trevose, PA",40.1513276,-74.988733542723
"Radnor, PA",40.0420325,-75.3535975
"West Conshohocken, PA",40.0698321,-75.3162951
"Wayne, PA",40.0440149,-75.3878616
"Bensalem, PA",40.10276155,-74.9321395088034
"Exton, PA",40.0289955,-75.6207651
"Doylestown, PA",40.3100446,-75.1304588
"Allegheny West, PA",40.0084457,-75.1779559
"Paoli, PA",40.0417847,-75.4838685
"Chester Township, PA",39.8514464,-75.40286684006416
"Conshohocken, PA",40.0792766,-75.3015714
"West Chester, PA",39.9597213,-75.6059638
"Mount Laurel, NJ",39.934002,-74.8909988
"Ridley Park, PA",39.8812236,-75.3237993
"Berwyn, PA",40.0448306,-75.4388053
"Newtown, PA",40.6506446,-76.3480297
"Newtown Square, PA",39.9868117,-75.4007633
"Boothwyn, PA",39.8309418,-75.4396925
"Norristown, PA",40.121497,-75.3399048
"West Point, PA",34.2387103,-86.9591727
"Marlton, NJ",39.9005585,-74.93389105589023
"Moorestown, NJ",39.9670569,-74.9426677
"San Antonio, TX",29.4246002,-98.4951405
"Lackland AFB, TX",29.3862862,-98.60090009131218
"Fort Sam Houston, TX",29.462353649999997,-98.43205242526918
"San Diego, CA",32.7174209,-117.1627714
"National City, CA",32.6781085,-117.0991967
"El Cajon, CA",32.7947731,-116.9625269
"Plano, TX",33.0136764,-96.6925096
"Allen, TX",33.1031744,-96.6705503
"Arlington, TX",32.701938999999996,-97.10562379033699
"Dallas, TX",32.7762719,-96.7968559
"Richardson, TX",32.9481789,-96.7297206
"Irving, TX",32.8295183,-96.9442177
"Grapevine, TX",32.9337381,-97.0788754
"Lewisville, TX",33.046233,-96.994174
"Addison, TX",32.9604305,-96.83025951893629
"Tarrant, TX",32.7513658,-97.335696
"Carrollton, TX",32.9537349,-96.8902816
"Southlake, TX",32.9412363,-97.1341783
"Coppell, TX",32.9552598,-97.0155703
"Farmers Branch, TX",32.9265137,-96.8961151
"Newark, CA",37.5296593,-122.0402399
"Santa Clara, CA",37.2333253,-121.6846349
"Redwood City, CA",37.4863239,-122.2325233
"Cupertino, CA",37.3228934,-122.0322895
"Fremont, CA",37.5482697,-121.9885719
"San Jose, CA",37.3361905,-121.8905833
"Menlo Park, CA",37.4519671,-122.1779927
"Palo Alto, CA",37.4443293,-122.1598465
"Mountain View, CA",37.3893889,-122.0832101
"Sunnyvale, CA",37.3688301,-122.0363496
"Los Gatos, CA",37.226611,-121.9746797
"Stanford, CA",37.426540700000004,-122.17029258409187
"East Palo Alto, CA",37.4688273,-122.1410751
"Pleasanton, CA",37.6624312,-121.8746789
"Union City, CA",37.5963232,-122.0816297
"Milpitas, CA",37.4282724,-121.9066238
"Campbell, CA",37.2870626,-121.9448818
"Austin, TX",30.2711286,-97.7436995
"West Lake Hills, TX",30.2877039,-97.8068157
"Round Rock, TX",30.508235,-97.6788934
"Cedar Park, TX",30.5217116,-97.827833
"Jacksonville, FL",30.3321838,-81.655651
"Fort Worth, TX",32.753177,-97.3327459
"Roanoke, TX",33.0040126,-97.2258483
"Westlake, TX",32.991226,-97.1943701
"Columbus, OH",39.9622601,-83.0007065
"Westerville, OH",40.126139,-82.9295287
"Hilliard, OH",40.033814,-83.1596108
"Dublin, OH",40.0992294,-83.1140771
"Charlotte, NC",35.2272,-80.843083
"Mooresville, NC",35.5848596,-80.8100724
"Huntersville, NC",35.410845,-80.8429094
"Fort Mill, SC",35.0073697,-80.9450759
"Indian Trail, NC",35.0768141,-80.6692352
"San Francisco, CA",37.7790262,-122.4199061
"San Rafael, CA",37.9735346,-122.5310874
"San Mateo, CA",37.496904,-122.3330573
"Oakland, CA",37.8044557,-122.2713563
"Berkeley, CA",37.8708393,-122.2728639
"Burlingame, CA",37.5841026,-122.3660825
"Foster City, CA",37.5600336,-122.2688522
"Marin City, CA",37.868538,-122.5091404
"Daly City, CA",37.6904826,-122.4726708
"South San Francisco, CA",37.6535403,-122.4168664
"San Bruno, CA",37.6261715,-122.4332435
"Emeryville, CA",37.8314089,-122.2865266
"Novato, CA",38.1061979,-122.5681191
"Millbrae, CA",37.598958,-122.4009419
"San Ramon, CA",37.7648021,-121.9544387
"Hercules, CA",37.80999905,-122.42224204376443
"Alameda, CA",37.6090291,-121.899142
"Walnut Creek, CA",37.9020731,-122.0618702
"Carmel, IN",39.9788017,-86.1189257
"Indianapolis, IN",39.7683331,-86.1583502
"Whitestown, IN",39.9972626,-86.3458296
"Jeffersonville, IN",38.2770227,-85.7371604
"Beech Grove, IN",39.7221906,-86.0894158
"Lawrence, IN",38.8400395,-86.4880717
"Redmond, WA",47.6694141,-122.1238767
"Seattle, WA",47.6038321,-122.3300624
"Issaquah, WA",47.5348778,-122.0432974
"Kent, WA",47.3826903,-122.2270272
"Bellevue, WA",47.6144219,-122.1923372
"Renton, WA",47.4799078,-122.2034496
"Kirkland, WA",47.6859573,-122.1920249
"Athens, GA",33.9597677,-83.376398
"Burlingame, KS",38.7538947,-95.8349868
"Topeka, KS",39.049011,-95.677556
"Denver, CO",39.7392364,-104.9848623
"Centennial, CO",39.579155,-104.8769227
"Boulder, CO",40.0149856,-105.2705456
"Greenwood Village, Arapahoe, CO",39.6172101,-104.9508141
"Henderson, CO",39.9205405,-104.8658084
"Englewood, CO",39.6482059,-104.9879641
"Lakewood, CO",39.7085736,-105.0846694
"Lone Tree, CO",39.5360997,-104.8963682
"Louisville, CO",39.977763,-105.1319296
"Aurora, CO",39.729432,-104.8319196
"Broomfield, CO",39.9203827,-105.0691464
"Littleton, CO",39.613321,-105.0166498
